Rhizobium radiobacter (Beijerinck and van Delden) Young et al. (ATCC 33970D-5),$336.00,$336.00,seqeunce available,Agrobacterium tumefaciens (Smith and Townsend) Conn,Genomic DNA from Rhizobium radiobacter strain C58 [ATCC 33970],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33970D-5.ashx
Quantitative Genomic DNA from Atopobium vaginae (ATCC BAA-55DQ),$578.00,$578.00,seqeunce available,NA,NA,1,frozen Specification range: ≥1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/BAA-55DQ.ashx
Quantitative Genomic DNA from Candida tropicalis (ATCC 750DQ),$541.00,$541.00,seqeunce available,NA,Quantitative Genomic DNA from Candida tropicalis,1,frozen Specification range: ≥1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine fungal load and for other molecular biology applications.",https://www.atcc.org/~/ps/750DQ.ashx
Streptobacillus moniliformis Levaditi et al. (ATCC 14647D-2),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Streptobacillus moniliformis strain 9901 [ATCC14647],1,dried Total DNA: At least 2 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/14647D-2.ashx
Campylobacter concisus Tanner et al. (ATCC BAA-1457D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Campylobacter concisus strain RM 5485 [ATCC BAA-1457],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1457D-5.ashx
Methanosarcina mazei (Barker) Mah and Kuhn (ATCC BAA-159D-5),$550.00,$550.00,NA,NA,Genomic DNA from Methanosarcina mazei strain DSM 3647 [ATCC BAA-159],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-159D-5.ashx
Streptococcus pyogenes Rosenbach (ATCC BAA-947D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from strain MGAS 5005 (ATCC BAA-947),1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-947D-5.ashx
Thermoanaerobacter sp. (ATCC BAA-938D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from strain X514 (ATCC BAA-938),1,freeze-dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-938D-5.ashx
Salinispora tropica (ATCC BAA-916D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Salinispora tropica strain CNB-440 [ATCC BAA-916],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-916D-5.ashx
Rhizobium vitis (Ophel and Kerr) Young et al. (ATCC BAA-846D),$550.00,$550.00,NA,NA,Genomic DNA from Rhizobium vitis strain S4 [ATCC BAA-846],1,dried Total DNA: 10 ug,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-846D.ashx
Deinococcus radiodurans (ex Raj et al.) Brooks and Murray (ATCC BAA-816D),$550.00,$550.00,seqeunce available,Deinococcus radiodurans Brooks and Murray,"Genomic DNA from  USUHS
                                                
                                            (genomic DNA from genome sequencing strain)",1,dried,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-816D.ashx
Deinococcus radiodurans (ex Raj et al.) Brooks and Murray (ATCC BAA-816D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Deinococcus radiodurans strain USUHS [ATCC BAA-816],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays.",https://www.atcc.org/~/ps/BAA-816D-5.ashx
Rhodobacter sphaeroides (van Niel) Imhoff et al. (ATCC BAA-808D-5),$314.00,$314.00,seqeunce available,NA,Genomic DNA from Rhodobacter sphaeroides strain 2.4.1 [ATCC BAA-808],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280:  1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-808D-5.ashx
Thermobaculum terrenum (ATCC BAA-798D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Thermobaculum terrenum strain YNP1 (ATCC BAA-798),1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-798D-5.ashx
"NGS-Ready DNA from Staphylococcus saprophyticus, strain Vitek #8935 (ATCC BAA-750DX)",$706.00,$706.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-750DX.ashx
Idiomarina loihiensis Donachie et al. (ATCC BAA-735D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Idiomarina loihiensis strain L2-TR [ATCC BAA-735],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-735D-5.ashx
Moryella indoligenes (ATCC BAA-695D-5),$550.00,$550.00,seqeunce available,Unidentified bacterium,Genomic DNA from Moryella indoligenes strain MDA2477 [ATCC BAA-695],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-695D-5.ashx
Quantitative Genomic DNA from Mycobacterium pinnipedii (ATCC BAA-688DQ),$550.00,$550.00,NA,NA,NA,1,frozen Specification range: ≥1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load and for other molecular biology applications.",https://www.atcc.org/~/ps/BAA-688DQ.ashx
Colwellia psychrerythraea (D'Aoust and Kushner) Deming et al. (ATCC BAA-681D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Colwellia psychrerythraea strain 34H [ATCC BAA-681],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-681D-5.ashx
Listeria innocua Seeliger (ATCC BAA-680D),$550.00,$550.00,NA,NA,Genomic DNA from Listeria innocua strain CLIP 11262 [ATCC BAA-680],1,dried Total DNA: 10ug,NA,NA,NA,NA,NA,Genome sequencing strain,https://www.atcc.org/~/ps/BAA-680D.ashx
Listeria ivanovii subsp. ivanovii Seeliger et al. (ATCC BAA-678D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Listeria ivanovii subsp. ivanovii strain PAM 55 [ATCC BAA-678],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-678D-5.ashx
Thermobifida fusca (McCarthy and Cross) Zhang et al. (ATCC BAA-629D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Thermobifida fusca strain YX [ATCC BAA-629],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-629D-5.ashx
Rhodoferax ferrireducens Finneran et al. (ATCC BAA-621D-5),$550.00,$550.00,seqeunce available,Rhodoferax ferrireducens Finneran et al.,Genomic DNA from Rhodobacter ferrireducens strain T118 [ATCC BAA-621],1,dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-621D-5.ashx
"NGS-Ready DNA from Streptococcus agalactiae, strain 2603 V/R (ATCC BAA-611DX)",$706.00,$706.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-611DX.ashx
Salinibacter ruber Anton et al. (ATCC BAA-605D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Salinibacter ruber strain DSM 13855 [ATCC 43589],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-605D-5.ashx
Streptococcus pyogenes Rosenbach (ATCC BAA-595D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from strain MGAS 315 (ATCC BAA-595),1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-595D-5.ashx
Ruegeria pomeroyi (Gonzalez et al.) Yi et al. (ATCC BAA-590D),$550.00,$550.00,NA,Silicibacter pomeroyi Gonzalez et al.,Genomic DNA from Ruegeria pomeroyi strain DSS-10 [ATCC BAA-590],1,dried Total DNA: At least 10 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-590D.ashx
Polaromonas sp. (ATCC BAA-500D-5),$550.00,$550.00,NA,NA,Genomic DNA from Polaromonas sp. strain JS666 [ATCC BAA-500],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-500D-5.ashx
Nocardioides sp. (ATCC BAA-499D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Nocardioides sp. strain JS614 [ATCC BAA-499],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-499D-5.ashx
Streptococcus thermophilus Orla-Jensen (ATCC BAA-491D-5),$550.00,$550.00,seqeunce available,NA,Genomic DNA from Streptococcus thermophilus strain LMD-9 [ATCC BAA-491],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-491D-5.ashx
Thermotoga petrophila Takahata et al. (ATCC BAA-488D-5),"For-Profit:
$314.00",,seqeunce available,NA,Genomic DNA from strain RKU-1 (ATCC BAA-488),1,freeze-dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-488D-5.ashx
Streptomyces violaceoruber (Waksman and Curtis) Pridham (ATCC BAA-471D-5),$550.00,$550.00,NA,NA,Genomic DNA from M145 (ATCC BAA-471),1,dried At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-471D-5.ashx
Lactobacillus delbrueckii subsp. bulgaricus (Orla-Jensen) Weiss et al. (ATCC BAA-365D),$550.00,$550.00,NA,NA,Genomic DNA from Lactobacillus delbrueckii subsp. bulgaricus strain Lb-18 [ATCC BAA-365],1,dried Total DNA: 10ug,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-365D.ashx
"NGS-Ready DNA from Pseudomonas aeruginosa, strain 1109196 (ATCC BAA-2797DX)",$706.00,$706.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2797DX.ashx
"NGS-Ready DNA from Acinetobacter baumannii, strain 1125209 (ATCC BAA-2803DX)",$650.00,$650.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2803DX.ashx
"NGS-Ready DNA from Klebsiella pneumoniae, strain BK35106 (ATCC BAA-2789DX)",$706.00,$706.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2789DX.ashx
"NGS-Ready DNA from Citrobacter freundii, strain 990954 (ATCC BAA-2807DX)",$706.00,$706.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2807DX.ashx
"NGS-Ready DNA from Escherichia coli, strain 1106769 (ATCC BAA-2777DX)",$706.00,$706.00,seqeunce available,NA,NA,1,"frozen ≥ 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ≥ 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2777DX.ashx
