Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Aggregatibacter actinomycetemcomitans (Klinger 1912) N??rskov-Lauritsen and Kilian 2006 (ATCC 700685),$402.00 ,$341.70 ,seqeunce available,Actinobacillus actinomycetemcomitans,HK1651 [RAP-1],2,frozen,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  814: GC Agar/Broth","Temperature: 35Celsius  to 37Celsius 
Atmosphere: 5% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/700685.ashx,,,,
Mycobacterium marinum Aronson (ATCC BAA-535D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Mycobacterium marinum strain M [ATCC BAA-535],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-535D-5.ashx,,,,
Mycobacterium marinum Aronson (ATCC BAA-535),$376.00 ,$319.60 ,seqeunce available,NA,M [Moffett Hospital #975973],2,freeze-dried,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment","Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Closely related to members of the M. tuberculosis complex, this pathogenic mycobacterial species can serve as a model for mycobacterial pathogenesis.",https://www.atcc.org/~/ps/BAA-535.ashx,,,,
Kineococcus radiotolerans Phillips et al. (ATCC BAA-149D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Kineococcus radiotolerans strain SRS30216 [ATCC BAA-149],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-149D-5.ashx,,,,
Parabacteroides merdae (Johnson et al.) Sakamoto and Benno (ATCC 43184),$402.00 ,$341.70 ,seqeunce available,Bacteroides merdae Johnson et al.,"VPI T4-1 [CIP 104202T, JCM 9497]",2,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/43184.ashx,,,,
Parvimonas micra formerly Micromonas micros and Peptostreptococcus micros (ATCC 33270),$72.00 ,$61.20 ,seqeunce available,Peptostreptococcus micros (Prevot) Smith,"VPI 5464 [3119B, DSM 20468, GIFU 7824, NCTC 11808]",1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Quality control strain,https://www.atcc.org/~/ps/33270.ashx,,,,
Nostoc sp. (ATCC 27893),$402.00 ,$341.70 ,seqeunce available,Anabaena sp.,PCC 7120,1,freeze-dried,"ATCC  1142: Allen and Arnon medium plus nitrate
ATCC  1142: Allen and Arnon medium plus nitrate
ATCC  616:  BG-11 for blue-green algae","Temperature: 26.0Celsius Atmosphere: Under light intensity of 2,000-3,000 luxProtocol: as growth medium",NA,NA,NA,Conjugation hostProduces hydrogenaseProduces restriction endonuclease AspCIProduces restriction endonuclease AspCIITransformation hostTransformation host that has been used as a partner in biparental conjugation with a strain of Escherichia coli carrying a shuttle vector and providing all functions necessary for the transfer of that vectorProduces two distinct hydrogenasesBacteriophage hostBiotechnology,https://www.atcc.org/~/ps/27893.ashx,,,,
Coprococcus eutactus Holdeman and Moore (ATCC 27759),$376.00 ,$319.60 ,seqeunce available,NA,VPI C33-22,1,freeze-dried,"ATCC  1015: Chopped meat carbohydrate medium (ATCC  593) with 0.1% cellobiose, 0.1% maltose and 0.1% starch
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/27759.ashx,,,,
Eggerthella lenta (Eggerth) Wade et al. (ATCC 25559D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Eggerthella lenta strain VPI 0255 [ATCC 25559],1,freeze-dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/25559D-5.ashx,,,,
Eggerthella lenta (Eggerth) Wade et al. (ATCC 25559),$376.00 ,$319.60 ,seqeunce available,Eubacterium lentum (Eggerth) Prevot,"VPI 0255 [1899B, DSM 2243, JCM 9979, NCTC 11813]",1,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/25559.ashx,,,,
Mycobacteroides abscessus Gupta et al. (ATCC 19977),$376.00 ,$319.60 ,seqeunce available,Mycobacterium abscessus (Moore and Frerichs) Kusunoki and Ezaki,L948 [TMC 1543],2,freeze-dried,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment
ATCC  90: Lowenstein Jenson medium",Temperature: 37Celsius Atmosphere:  Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/19977.ashx,,,,
Mycobacteroides abscessus Gupta et al. (ATCC 19977D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Mycobacteroides abscessus strain L948 [ATCC 19977],1,freeze-dried Total DNA: At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/19977D-5.ashx,,,,
Burkholderia thailandensis Brett et al. (ATCC 700388),$376.00 ,$319.60 ,seqeunce available,NA,"E264 [CIP 106301, DSM 13276, LMG 20219]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 30Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Characterization,https://www.atcc.org/~/ps/700388.ashx,,,,
"NGS-Ready DNA from Staphylococcus aureus, strain M10/0148 (ATCC BAA-2313DX)",$650.00 ,$650.00 ,seqeunce available,NA,NA,1,"frozen ??? 10 ug of DNA in 10 mM Tris-HCl buffer, pH 8.5Fragment size ??? 20 kb",NA,NA,-20Celsius  or colder,NA,NA,"ATCC NGS-Ready DNA is carefully extracted to produce concentrated, purified, long fragment, high-molecular-weight DNA required for Next Generation Sequencing platforms. ATCC NGS-Ready DNA has been functionally verified and the resultant sequence passes stringent qualifications reported on the Certificate of Analysis for each lot. Sequence produced from this product is available through the ATCC Genome Portal (genomes.atcc.org).",https://www.atcc.org/~/ps/BAA-2313DX.ashx,,,,
Actinobacillus succinogenes Guettler et al. (ATCC 55618),$376.00 ,$319.60 ,seqeunce available,Unidentified bacterium,"130Z [CIP 106006, CIP 106512]",1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces succinic acid,https://www.atcc.org/~/ps/55618.ashx,,,,
Thermotoga neapolitana Jannasch et al. (ATCC 49049D),$550.00 ,$550.00 ,NA,NA,Genomic DNA from strain NS-E [ATCC 49049],1,frozen Total DNA: 50 ng,NA,NA,-20Celsius  or colder,NA,NA,NA,https://www.atcc.org/~/ps/49049D.ashx,,,,
Atopobium parvulum (Weinberg et al.) Collins and Wallbanks (ATCC 33793),$376.00 ,$319.60 ,seqeunce available,Streptococcus parvulus (Weinberg et al.) Cato emend. Olsen et al.,VPI 0546 [1246],1,freeze-dried,ATCC  1758: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/33793.ashx,,,,
Streptococcus mutans Clarke (ATCC 700610),$402.00 ,$341.70 ,seqeunce available,NA,UA159 [UAB577],1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,"Temperature: 37Celsius 
Atmosphere: 5% CO2 or aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,"Sensitive to erythromycinSensitive to rifampin rifampicin, rifamycin AMPSensitive to spectinomycin actinospectacinSensitive to streptomycin",NA,Transformation host,https://www.atcc.org/~/ps/700610.ashx,,,,
Quantitative Genomic DNA from Lactobacillus gasseri (ATCC 33323DQ),$541.00 ,$541.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC??Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/33323DQ.ashx,,,,
Lactobacillus gasseri Lauer and Kandler (ATCC 33323D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Lactobacillus gasseri strain 63 AM [ATCC 33323],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33323D-5.ashx,,,,
Cupriavidus necator (ATCC 17699),$376.00 ,$319.60 ,seqeunce available,Ralstonia eutropha Yabuuchi et al.,"337 [ATCC 23440, H16, NCIB 10442, S-10-1]",1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,Temperature: 26Celsius Atmosphere:  Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/17699.ashx,,,,
Legionella pneumophila subsp. pneumophila Brenner et al. (ATCC 33152D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Legionella pneumophila subsp. pneumophila Strain Philadelphia-1 [ATCC 33152],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33152D-5.ashx,,,,
Escherichia coli (Migula) Castellani and Chalmers (ATCC BAA-2196),$376.00 ,$319.60 ,seqeunce available,NA,2003-3014,2,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,"Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Enteric ResearchFood testing,https://www.atcc.org/~/ps/BAA-2196.ashx,,,,
Clostridium bolteae (ATCC BAA-613),$402.00 ,$341.70 ,seqeunce available,NA,WAL 16351 [CCUG 46953],2,freeze-dried,"ATCC  1490: Modified chopped meat medium
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-613.ashx,,,,
Campylobacter upsaliensis Sandstedt and Ursing (ATCC BAA-1059),$376.00 ,$319.60 ,seqeunce available,NA,RM 3195,2,freeze-dried,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37Celsius Atmosphere: Microaerophilic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Genome sequencing strainEmerging infectious disease researchEnteric Research,https://www.atcc.org/~/ps/BAA-1059.ashx,,,,
Halobacterium sp. (ATCC 700922D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Halobacterium sp. strain NRC-1 [ATCC 700922],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700922d-5.ashx,,,,
Moorella thermoacetica (Fontaine et al.) Collins et al. (ATCC 39073),$376.00 ,$319.60 ,seqeunce available,Clostridium thermoaceticum Fontaine et al.,NA,1,freeze-dried,ATCC  1203: CM4 medium,"Temperature: 55Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Produces ATP synthase
Produces acetate
Production of acetate from sugars
Precipitation of cadmium",https://www.atcc.org/~/ps/39073.ashx,,,,
Streptomyces viridosporus Pridham et al. (ATCC 39115),$376.00 ,$319.60 ,NA,NA,T7A,1,freeze-dried,"ATCC  1877: ISP  1
ATCC  196: Yeast malt extract agar","Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Degrades ligninProduces APPL acid-precipitable polymeric ligninProduces lignin peroxidase diarylpropane oxygenaseProduces extracellular lignin peroxidase,https://www.atcc.org/~/ps/39115.ashx,,,,
Lactobacillus brevis (Orla-Jensen) Bergey et al. (ATCC 367),"For-Profit:
$314.00",,seqeunce available,Lactobacillus pentoaceticus Fred et al.,"[118-8, BUCSAV 252, NCDO 477, NCIB 8169, NCIB 947, NCTC 947]",1,freeze-dried,ATCC  416: Lactobacilli MRS Agar/Broth,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Assay of cytosineAssay of uracil,https://www.atcc.org/~/ps/367.ashx,,,,
Rhizobium radiobacter (Beijerinck and van Delden) Young et al. (ATCC 33970),$251.00 ,$213.35 ,seqeunce available,Agrobacterium tumefaciens (Smith and Townsend) Conn,C58 [CIP 104333],1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Produces restriction endonuclease AtuCI,https://www.atcc.org/~/ps/33970.ashx,,,,
Alistipes putredinis (Weinberg et al.) Rautio et al. (ATCC 29800),$402.00 ,$341.70 ,seqeunce available,Bacteroides putredinis (Weinberg et al.) Kelly,"VPI 3293 [1Ando, CCUG 45780, CIP 104286, DSM 17216]",2,freeze-dried,ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood,"Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/29800.ashx,,,,
Mycobacterium bovis Karlson and Lessel (ATCC 19210),"$1,159.00 ",$985.15 ,seqeunce available,NA,"18802-887 [NCTC 10772, TMC 410]",3,frozen,ATCC  2714: Middlebrook 7H9 Broth w/ ADC Enrichment and 40mM Sodium Pyruvate,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/en/My_Profile.aspx?sc_device=modal&streamfile=/~/ps/19210.ashx&reloadafterclose=true,,,,
Quantitative Genomic DNA from Clostridium perfringens (ATCC 13124DQ),$578.00 ,$578.00 ,NA,NA,NA,1,frozen Specification range: ???1 x 105 copies/uL100 uL per vial,NA,NA,-20Celsius  or colder,NA,NA,"ATCC Genuine Nucleics can be used for assay development, verification, validation, monitoring of day-to-day test variation, and lot-to-lot performance of molecular-based assays. The quantitative format allows for the generation of a standard curve for quantitative PCR (qPCR) to determine bacterial load.",https://www.atcc.org/~/ps/13124DQ.ashx,,,,
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 13124D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Clostridium perfringens Strain NCTC 8237 [ATCC 13124],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,Water testing,https://www.atcc.org/~/ps/13124D-5.ashx,,,,
Clostridium perfringens (Veillon and Zuber) Hauduroy et al. (ATCC 13124),$72.00 ,$61.20 ,seqeunce available,NA,"NCTC 8237 [ATCC 19408, CIP 103 409, CN 1491, NCIB 6125, NCTC 6125, S 107]",2,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Media testingProduces hemolysinsProduces lethal toxinsProduces phospholipase C lecithinase CQuality control strainReference materialControl strain for anaerobe identificationQuality control strain for API, BBL, and MicroScan [Reg TM] productsWater testing",https://www.atcc.org/~/ps/13124.ashx,,,,
Lactobacillus delbrueckii subsp. bulgaricus (Orla-Jensen) Weiss et al. (ATCC 11842D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Lactobacillus delbrueckii subsp. bulgaricus strain Lb14 [ATCC 11842],1,dried Total DNA: At least 5 ug in 1X TE buffer,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/11842D-5.ashx,,,,
Atopobium vaginae Rodriguez Jovita et al. (ATCC BAA-55),$402.00 ,$341.70 ,seqeunce available,NA,"CCUG 38953 [CIP 106431, DSM 15829]",1,freeze-dried,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  1377: Haemophilus ducreyi medium","Temperature: 37Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-55.ashx,,,,
Streptococcus pneumoniae (Klein) Chester (ATCC BAA-255D-5),$336.00 ,$336.00 ,seqeunce available,NA,Genomic DNA from Streptococcus pneumoniae strain R6 [ATCC BAA-255],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-255D-5.ashx,,,,
Campylobacter jejuni (Jones et al.) Veron and Chatelain (ATCC BAA-2151),$402.00 ,$341.70 ,seqeunce available,NA,81-176,2,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Microaerophilic, 3-5% O2-10% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Emerging infectious disease researchEnteric Research,https://www.atcc.org/~/ps/BAA-2151.ashx,,,,
Streptococcus pneumoniae (Klein) Chester (ATCC BAA-255),$376.00 ,$319.60 ,seqeunce available,NA,R6,2,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37Celsius Atmosphere: 5% CO2,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Respiratory research,https://www.atcc.org/~/ps/BAA-255.ashx,,,,
Mycobacterium smegmatis (Trevisan) Lehmann and Neumann (ATCC 700084D-5),$314.00 ,$314.00 ,seqeunce available,NA,Genomic DNA from Mycobacterium smegmatis Strain mc(2)155 [ATCC 700084],1,dried At least 5 ug in 1X TE bufferOD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/700084D-5.ashx,,,,
Mycobacterium smegmatis (Trevisan) Lehmann and Neumann (ATCC 700084),$376.00 ,$319.60 ,seqeunce available,NA,mc(2)155,1,freeze-dried,"ATCC  1395: Middlebrook 7H9 broth with ADC enrichment
ATCC  173: Middlebrook 7H10 agar with Middlebrook OADC enrichment
ATCC  90: Lowenstein Jenson medium",Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Sensitive to kanamycin,NA,Transformation host,https://www.atcc.org/~/ps/700084.ashx,,,,
Rhizobium radiobacter (Beijerinck and van Delden) Young et al. (ATCC 33970D-5),$336.00 ,$336.00 ,seqeunce available,Agrobacterium tumefaciens (Smith and Townsend) Conn,Genomic DNA from Rhizobium radiobacter strain C58 [ATCC 33970],1,dried Total DNA: At least 5 ug in 1X TE buffer.OD260/OD280: 1.6 to 2.0,NA,NA,NA,NA,NA,NA,https://www.atcc.org/~/ps/33970D-5.ashx,,,,
Brucella ovis Buddle 1956 (ATCC 25840),$376.00 ,$319.60 ,seqeunce available,NA,63/290 [NCTC 10512],2,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37Celsius  Atmosphere: 5% CO2,2Celsius  to 8Celsius,NA,NA,Zoonotic disease research,https://www.atcc.org/~/ps/25840.ashx,,,,
Methylobacterium extorquens (Urakami and Komagata) Bousfield and Green (ATCC 14718),$376.00 ,$319.60 ,seqeunce available,Pseudomonas sp.,"NCIB 9133 [D 355; AM1, R. Hugh 1924]",1,freeze-dried,ATCC  396: Methylamine-salts medium,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Produces glutamate dehydrogenase (NADP+) NADP+-dependent glutamate dehydrogenase, glutamate dehydrogenase (NADP-dependent)Biotechnology",https://www.atcc.org/~/ps/14718.ashx,,,,
